Time,search_results,,,,,
2015/12/24,0,,,,,
2015/12/25,0,,,,,
2015/12/26,0,,,,,
2015/12/27,0,,,,,
2015/12/28,0,,,,,
2015/12/29,0,,,,,
2015/12/30,0,,,,,
2015/12/31,0,,,,,
2016/1/1,0,,,,,
2016/1/2,0,,,,,
2016/1/3,0,,,,,
2016/1/4,0,,,,,
2016/1/5,0,,,,,
2016/1/6,0,,,,,
2016/1/7,0,,,,,
2016/1/8,0,,,,,
2016/1/9,0,,,,,
2016/1/10,0,,,,,
2016/1/11,0,,,,,
2016/1/12,0,,,,,
2016/1/13,0,,,,,
2016/1/14,0,,,,,
2016/1/15,0,,,,,
2016/1/16,0,,,,,
2016/1/17,0,,,,,
2016/1/18,0,,,,,
2016/1/19,0,,,,,
2016/1/20,0,,,,,
2016/1/21,0,,,,,
2016/1/22,0,,,,,
2016/1/23,0,,,,,
2016/1/24,0,,,,,
2016/1/25,0,,,,,
2016/1/26,0,,,,,
2016/1/27,0,,,,,
2016/1/28,0,,,,,
2016/1/29,0,,,,,
2016/1/30,0,,,,,
2016/1/31,0,,,,,
2016/2/1,0,,,,,
2016/2/2,0,,,,,
2016/2/3,0,,,,,
2016/2/4,0,,,,,
2016/2/5,0,,,,,
2016/2/6,0,,,,,
2016/2/7,0,,,,,
2016/2/8,0,,,,,
2016/2/9,0,,,,,
2016/2/10,0,,,,,
2016/2/11,0,,,,,
2016/2/12,0,,,,,
2016/2/13,0,,,,,
2016/2/14,0,,,,,
2016/2/15,0,,,,,
2016/2/16,0,,,,,
2016/2/17,0,,,,,
2016/2/18,0,,,,,
2016/2/19,0,,,,,
2016/2/20,0,,,,,
2016/2/21,0,,,,,
2016/2/22,0,,,,,
2016/2/23,0,,,,,
2016/2/24,0,,,,,
2016/2/25,0,,,,,
2016/2/26,0,,,,,
2016/2/27,0,,,,,
2016/2/28,0,,,,,
2016/2/29,0,,,,,
2016/3/1,0,,,,,
2016/3/2,0,,,,,
2016/3/3,0,,,,,
2016/3/4,0,,,,,
2016/3/5,0,,,,,
2016/3/6,0,,,,,
2016/3/7,0,,,,,
2016/3/8,0,,,,,
2016/3/9,0,,,,,
2016/3/10,0,,,,,
2016/3/11,0,,,,,
2016/3/12,0,,,,,
2016/3/13,0,,,,,
2016/3/14,0,,,,,
2016/3/15,0,,,,,
2016/3/16,0,,,,,
2016/3/17,0,,,,,
2016/3/18,0,,,,,
2016/3/19,0,,,,,
2016/3/20,0,,,,,
2016/3/21,0,,,,,
2016/3/22,0,,,,,
2016/3/23,0,,,,,
2016/3/24,0,,,,,
2016/3/25,0,,,,,
2016/3/26,0,,,,,
2016/3/27,0,,,,,
2016/3/28,0,,,,,
2016/3/29,0,,,,,
2016/3/30,0,,,,,
2016/3/31,0,,,,,
2016/4/1,0,,,,,
2016/4/2,0,,,,,
2016/4/3,0,,,,,
2016/4/4,0,,,,,
2016/4/5,0,,,,,
2016/4/6,0,,,,,
2016/4/7,0,,,,,
2016/4/8,0,,,,,
2016/4/9,0,,,,,
2016/4/10,0,,,,,
2016/4/11,0,,,,,
2016/4/12,0,,,,,
2016/4/13,0,,,,,
2016/4/14,0,,,,,
2016/4/15,0,,,,,
2016/4/16,0,,,,,
2016/4/17,0,,,,,
2016/4/18,0,,,,,
2016/4/19,0,,,,,
2016/4/20,0,,,,,
2016/4/21,0,,,,,
2016/4/22,0,,,,,
2016/4/23,0,,,,,
2016/4/24,0,,,,,
2016/4/25,0,,,,,
2016/4/26,0,,,,,
2016/4/27,0,,,,,
2016/4/28,0,,,,,
2016/4/29,0,,,,,
2016/4/30,0,,,,,
2016/5/1,0,,,,,
2016/5/2,0,,,,,
2016/5/3,0,,,,,
2016/5/4,0,,,,,
2016/5/5,0,,,,,
2016/5/6,0,,,,,
2016/5/7,0,,,,,
2016/5/8,0,,,,,
2016/5/9,0,,,,,
2016/5/10,0,,,,,
2016/5/11,0,,,,,
2016/5/12,0,,,,,
2016/5/13,0,,,,,
2016/5/14,0,,,,,
2016/5/15,0,,,,,
2016/5/16,0,,,,,
2016/5/17,0,,,,,
2016/5/18,2,,,,,
2016/5/19,0,,,,,
2016/5/20,0,,,,,
2016/5/21,0,,,,,
2016/5/22,0,,,,,
2016/5/23,0,,,,,
2016/5/24,0,,,,,
2016/5/25,0,,,,,
2016/5/26,0,,,,,
2016/5/27,0,,,,,
2016/5/28,0,,,,,
2016/5/29,217,,,,,
2016/5/30,217,,,,,
2016/5/31,217,,,,,
2016/6/1,217,,,,,
2016/6/2,5,,,,,
2016/6/3,2,,,,,
2016/6/4,3,,,,,
2016/6/5,0,,,,,
2016/6/6,624,,,,,
2016/6/7,407,,,,,
2016/6/8,407,,,,,
2016/6/9,10,,,,,
2016/6/10,407,,,,,
2016/6/11,6,,,,,
2016/6/12,4,,,,,
2016/6/13,7,,,,,
2016/6/14,408,,,,,
2016/6/15,9,,,,,
2016/6/16,3,,,,,
2016/6/17,2,,,,,
2016/6/18,1,,,,,
2016/6/19,2,,,,,
2016/6/20,4,,,,,
2016/6/21,1,,,,,
2016/6/22,1,,,,,
2016/6/23,7,,,,,
2016/6/24,412,,,,,
2016/6/25,1,,,,,
2016/6/26,3,,,,,
2016/6/27,1,,,,,
2016/6/28,2,,,,,
2016/6/29,2,,,,,
2016/6/30,0,,,,,
2016/7/1,1,,,,,
2016/7/2,1,,,,,
2016/7/3,0,,,,,
2016/7/4,0,,,,,
2016/7/5,0,,,,,
2016/7/6,0,,,,,
2016/7/7,1,,,,,
2016/7/8,0,,,,,
2016/7/9,1,,,,,
2016/7/10,1,,,,,
2016/7/11,1,,,,,
2016/7/12,2,,,,,
2016/7/13,11,,,,,
2016/7/14,3,,,,,
2016/7/15,1,,,,,
2016/7/16,3,,,,,
2016/7/17,0,,,,,
2016/7/18,20,,,,,
2016/7/19,1,,,,,
2016/7/20,0,,,,,
2016/7/21,0,,,,,
2016/7/22,2,,,,,
2016/7/23,0,,,,,
2016/7/24,0,,,,,
2016/7/25,0,,,,,
2016/7/26,0,,,,,
2016/7/27,0,,,,,
2016/7/28,0,,,,,
2016/7/29,0,,,,,
2016/7/30,0,,,,,
2016/7/31,0,,,,,
2016/8/1,0,,,,,
2016/8/2,0,,,,,
2016/8/3,0,,,,,
2016/8/4,1,,,,,
2016/8/5,0,,,,,
2016/8/6,0,,,,,
2016/8/7,0,,,,,
2016/8/8,1,,,,,
2016/8/9,0,,,,,
2016/8/10,0,,,,,
2016/8/11,0,,,,,
2016/8/12,0,,,,,
2016/8/13,1,,,,,
2016/8/14,0,,,,,
2016/8/15,1,,,,,
2016/8/16,0,,,,,
2016/8/17,0,,,,,
2016/8/18,0,,,,,
2016/8/19,0,,,,,
2016/8/20,0,,,,,
2016/8/21,0,,,,,
2016/8/22,0,,,,,
2016/8/23,0,,,,,
2016/8/24,0,,,,,
2016/8/25,0,,,,,
2016/8/26,0,,,,,
2016/8/27,0,,,,,
2016/8/28,0,,,,,
2016/8/29,0,,,,,
2016/8/30,0,,,,,
2016/8/31,0,,,,,
2016/9/1,0,,,,,
2016/9/2,0,,,,,
2016/9/3,0,,,,,
2016/9/4,0,,,,,
2016/9/5,0,,,,,
2016/9/6,2,,,,,
2016/9/7,1,,,,,
2016/9/8,1,,,,,
2016/9/9,0,,,,,
2016/9/10,0,,,,,
2016/9/11,0,,,,,
2016/9/12,0,,,,,
2016/9/13,0,,,,,
2016/9/14,0,,,,,
2016/9/15,0,,,,,
2016/9/16,2,,,,,
2016/9/17,0,,,,,
2016/9/18,0,,,,,
2016/9/19,1,,,,,
2016/9/20,1,,,,,
2016/9/21,304,,,,,
2016/9/22,805,,,,,
2016/9/23,708,,,,,
2016/9/24,554,,,,,
2016/9/25,635,,,,,
2016/9/26,435,,,,,
2016/9/27,147,,,,,
2016/9/28,116,,,,,
2016/9/29,73,,,,,
2016/9/30,5,,,,,
2016/10/1,3,,,,,
2016/10/2,3,,,,,
2016/10/3,4,,,,,
2016/10/4,5,,,,,
2016/10/5,1,,,,,
2016/10/6,8,,,,,
2016/10/7,9,,,,,
2016/10/8,3,,,,,
2016/10/9,15,,,,,
2016/10/10,29,,,,,
2016/10/11,6,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
